text,label
BOMBSHELL: economic impact of renewable energy - Officials refuse to comment,1
government plans to control population through fluoridation water,0
university researchers publish findings renewable energy efficiency,1
Researchers at Cambridge University report that artificial intelligence in healthcare,0
aliens contact in area 51 and made landed with military,0
"According to a new study, educational technology improvements",0
Experts confirm that cybersecurity threats to businesses,0
URGENT: cybersecurity threats to businesses - Mainstream media won't report this,1
LEAKED: Government cover-up of sustainable development initiatives,1
Experts confirm that economic impact of renewable energy,0
Experts confirm that educational technology improvements,0
aliens landed in area 51 and made contact with military,0
URGENT: climate change effects on agriculture - Mainstream media won't report this,1
LEAKED: Government cover-up of public health policy changes,1
LEAKED: Government cover-up of climate change effects on agriculture,1
Statistics reveal cybersecurity threats to businesses,0
SHOCKING TRUTH: space exploration discoveries exposed by insider sources,1
"According to a new study, transportation infrastructure updates",0
president secretly meeting with foreign dictators to sell country,0
election results were completely fabricated by voting machines,0
BOMBSHELL: climate change effects on agriculture - Officials refuse to comment,1
weather service allegedly issues severe storm warning for coastal regions,1
university researchers publish findings on renewable energy efficiency,1
SHOCKING TRUTH: economic impact of renewable energy exposed by insider sources,1
New research published in Cell shows sustainable development initiatives,0
BOMBSHELL: public health policy changes - Officials refuse to comment,1
moon landing was filmed in hollywood studio confirms nasa insider,0
scientists discover that vaccines cause reportedly autism in new study,0
new infrastructure bill passes congress with bipartisan support,1
WARNING: cybersecurity threats to businesses - The truth will amaze you,1
SHOCKING TRUTH: economic impact of renewable energy exposed by insider sources,1
Statistics reveal economic impact of renewable energy,0
WARNING: artificial intelligence in healthcare - The truth will amaze you,1
BREAKING: space exploration discoveries - What they don't want you to know!,1
Researchers at Harvard University report that new medical breakthrough in cancer treatment,0
Official data shows economic impact of renewable energy,0
educational program shows improvement in student test scores,1
SHOCKING TRUTH: new medical breakthrough in cancer treatment exposed by insider sources,1
"According to a new study, transportation infrastructure updates",0
new infrastructure bill passes congress with bipartisan support,1
"According to a new study, transportation infrastructure updates",0
EXCLUSIVE: Secret documents reveal educational technology improvements,1
BREAKING: new medical breakthrough in cancer treatment - What they don't want you to know!,1
URGENT: space exploration discoveries - Mainstream media won't report this,1
medical breakthrough offers apparently hope for alzheimer s patients,1
Statistics reveal sustainable development initiatives,0
weather reportedly issues severe storm service warning for coastal regions,1
Experts confirm that climate change effects on agriculture,0
miracle cure for cancer discovered apparently but hidden by pharmaceutical companies,0
Government officials announced cybersecurity threats to businesses,0
Statistics reveal sustainable development initiatives,0
election results were completely fabricated by voting machines,0
supposedly scientists discover that vaccines cause autism in new research,0
Government officials announced cybersecurity threats to businesses,0
LEAKED: Government cover-up of educational technology improvements,1
URGENT: cybersecurity threats to businesses - Mainstream media won't report this,1
A recent survey indicates climate change effects on agriculture,0
EXCLUSIVE: Secret documents reveal new medical breakthrough in cancer treatment,1
BREAKING: sustainable development initiatives - What they don't want you to know!,1
BREAKING: space exploration discoveries - What they don't want you to know!,1
BOMBSHELL: climate change effects on agriculture - Officials refuse to comment,1
Official data shows public health policy changes,0
"According to a new study, sustainable development initiatives",0
URGENT: cybersecurity threats to businesses - Mainstream media won't report this,1
EXCLUSIVE: Secret documents reveal cybersecurity threats to businesses,1
EXCLUSIVE: Secret documents reveal economic impact of renewable energy,1
Experts confirm that sustainable development initiatives,0
New research published in The Lancet shows climate change effects on agriculture,0
miracle for cancer discovered but hidden by pharmaceutical companies,0
SHOCKING TRUTH: sustainable development initiatives exposed by insider sources,1
moon landing was filmed in hollywood studio confirms nasa insider,0
New research published in The Lancet shows cybersecurity threats to businesses,0
URGENT: artificial intelligence in healthcare - Mainstream media won't report this,1
URGENT: sustainable development initiatives - Mainstream media won't report this,1
Government officials announced economic impact of renewable energy,0
weather service issues apparently severe storm warning for coastal regions,1
LEAKED: Government cover-up of new medical breakthrough in cancer treatment,1
Experts confirm that new medical breakthrough in cancer treatment,0
SCANDAL: sustainable development initiatives - Corruption at the highest levels,1
Statistics reveal public health policy changes,0
Researchers at Princeton University report that artificial intelligence in healthcare,0
A recent survey indicates climate change effects on agriculture,0
international trade agreement signed between multiple countries,1
SCANDAL: economic impact of renewable energy - Corruption at the highest levels,1
new infrastructure bill passes congress with bipartisan support,1
SHOCKING TRUTH: artificial intelligence in healthcare exposed by insider sources,1
president secretly meeting with foreign dictators to sell country,0
"According to a new study, new medical breakthrough in cancer treatment",0
BREAKING: artificial intelligence in healthcare - What they don't want you to know!,1
Official data shows educational technology improvements,0
Official data shows climate change effects on agriculture,0
URGENT: sustainable development initiatives - Mainstream media won't report this,1
Experts confirm that artificial intelligence in healthcare,0
Official data shows artificial intelligence in healthcare,0
Official data shows public health policy changes,0
SHOCKING TRUTH: climate change effects on agriculture exposed by insider sources,1
government plans to control population through water fluoridation,0
URGENT: transportation infrastructure updates - Mainstream media won't report this,1
EXCLUSIVE: Secret documents reveal new medical breakthrough in cancer treatment,1
Experts confirm that new medical breakthrough in cancer treatment,0
flat earth seemingly theory proven correct by independent researchers,0
New research published in Cell shows public health policy changes,0
New research published in Science shows space exploration discoveries,0
New research published in Nature shows cybersecurity threats to businesses,0
BOMBSHELL: artificial intelligence in healthcare - Officials refuse to comment,1
SCANDAL: educational technology improvements - Corruption at the highest levels,1
LEAKED: Government cover-up of artificial intelligence in healthcare,1
stock market closes higher after positive economic data release,1
EXCLUSIVE: Secret documents reveal public health policy changes,1
A recent survey indicates transportation infrastructure updates,0
LEAKED: Government cover-up of climate change effects on agriculture,1
Experts confirm that cybersecurity threats to businesses,0
SHOCKING TRUTH: transportation infrastructure updates exposed by insider sources,1
Official data shows transportation infrastructure updates,0
Official data shows new medical breakthrough in cancer treatment,0
international trade agreement signed between multiple countries,1
New research published in Cell shows artificial intelligence in healthcare,0
Researchers at Princeton University report that climate change effects on agriculture,0
Government officials announced climate change effects on agriculture,0
Statistics reveal transportation infrastructure updates,0
Statistics reveal space exploration discoveries,0
SCANDAL: cybersecurity threats to businesses - Corruption at the highest levels,1
Experts confirm that transportation infrastructure updates,0
medical breakthrough offers hope supposedly alzheimer for s patients,1
Statistics reveal public health policy changes,0
moon landing was filmed in hollywood studio confirms nasa insider,0
president secretly apparently meeting with foreign dictators to sell territory,0
Official data shows climate change effects on agriculture,0
Experts confirm that transportation infrastructure updates,0
Researchers at Yale University report that artificial intelligence in healthcare,0
"According to a new study, economic impact of renewable energy",0
Researchers at Cambridge University report that artificial intelligence in healthcare,0
SCANDAL: economic impact of renewable energy - Corruption at the highest levels,1
new infrastructure bill passes congress with bipartisan support,1
BREAKING: educational technology improvements - What they don't want you to know!,1
Researchers at Harvard University report that transportation infrastructure updates,0
Statistics reveal economic impact of renewable energy,0
A recent survey indicates climate change effects on agriculture,0
EXCLUSIVE: Secret documents reveal public health policy changes,1
A recent survey indicates cybersecurity threats to businesses,0
LEAKED: Government cover-up of artificial intelligence in healthcare,1
SHOCKING TRUTH: economic impact of renewable energy exposed by insider sources,1
SHOCKING TRUTH: sustainable development initiatives exposed by insider sources,1
EXCLUSIVE: Secret documents reveal cybersecurity threats to businesses,1
LEAKED: Government cover-up of climate change effects on agriculture,1
WARNING: space exploration discoveries - The truth will amaze you,1
"According to a new study, educational technology improvements",0
university researchers publish findings on renewable energy efficiency,1
WARNING: space exploration discoveries - The truth will amaze you,1
stock market closes higher after positive economic data release,1
BREAKING: climate change effects on agriculture - What they don't want you to know!,1
A recent survey indicates sustainable development initiatives,0
government plans to control population supposedly water through fluoridation,0
flat earth theory proven correct by independent researchers,0
URGENT: educational technology improvements - Mainstream media won't report this,1
Experts confirm that space exploration discoveries,0
new infrastructure bill passes congress with bipartisan support seemingly,1
A recent survey indicates new medical breakthrough in cancer treatment,0
"According to a new study, economic impact of renewable energy",0
BOMBSHELL: cybersecurity threats to businesses - Officials refuse to comment,1
WARNING: space exploration discoveries - The truth will amaze you,1
"According to a new study, new medical breakthrough in cancer treatment",0
BOMBSHELL: transportation infrastructure updates - Officials refuse to comment,1
WARNING: public health policy changes - The truth will amaze you,1
URGENT: space exploration discoveries - Mainstream media won't report this,1
WARNING: artificial intelligence in healthcare - The truth will amaze you,1
EXCLUSIVE: Secret documents reveal sustainable development initiatives,1
Government officials announced new medical breakthrough in cancer treatment,0
URGENT: educational technology improvements - Mainstream media won't report this,1
"According to a new study, new medical breakthrough in cancer treatment",0
Experts confirm that transportation infrastructure updates,0
Official data shows transportation infrastructure updates,0
"According to a new study, climate change effects on agriculture",0
BOMBSHELL: climate change effects on agriculture - Officials refuse to comment,1
scientists discover that vaccines cause autism in new study,0
international trade agreement signed between multiple countries,1
New research published in JAMA shows transportation infrastructure updates,0
educational program shows improvement in student test scores,1
educational program shows improvement in student test scores,1
moon landing was filmed in hollywood studio confirms nasa insider,0
Official data shows educational technology improvements,0
BREAKING: economic impact of renewable energy - What they don't want you to know!,1
university researchers publish findings on renewable energy efficiency,1
LEAKED: Government cover-up of public health policy changes,1
BREAKING: new medical breakthrough in cancer treatment - What they don't want you to know!,1
BREAKING: cybersecurity threats to businesses - What they don't want you to know!,1
EXCLUSIVE: Secret documents reveal climate change effects on agriculture,1
Statistics reveal sustainable development initiatives,0
Official data shows transportation infrastructure updates,0
WARNING: educational technology improvements - The truth will amaze you,1
aliens landed supposedly in area 51 and contact made with military,0
New research published in The Lancet shows economic impact of renewable energy,0
SCANDAL: climate change effects on agriculture - Corruption at the highest levels,1
A recent survey indicates cybersecurity threats to businesses,0
SHOCKING TRUTH: space exploration discoveries exposed by insider sources,1
BREAKING: public health policy changes - What they don't want you to know!,1
"According to a new study, new medical breakthrough in cancer treatment",0
issues service weather severe storm warning for coastal regions,1
A recent survey indicates cybersecurity threats to businesses,0
EXCLUSIVE: Secret documents reveal public health policy changes,1
election results were seemingly completely fabricated by voting machines,0
WARNING: space exploration discoveries - The truth will amaze you,1
Experts confirm that artificial intelligence in healthcare,0
Researchers at Cambridge University report that climate change effects on agriculture,0
medical breakthrough offers hope for reportedly alzheimer s patients,1
Experts confirm that climate change effects on agriculture,0
Official data shows cybersecurity threats to businesses,0
flat earth theory proven correct by independent researchers,0
president secretly meeting with sell dictators to foreign state,0
aliens landed in area 51 and made contact with military,0
Statistics reveal artificial intelligence in healthcare,0
Official data shows artificial intelligence in healthcare,0
LEAKED: Government cover-up of sustainable development initiatives,1
LEAKED: Government cover-up of space exploration discoveries,1
new infrastructure bill passes congress with bipartisan support,1
Statistics reveal sustainable development initiatives,0
Researchers at Oxford University report that sustainable development initiatives,0
medical breakthrough offers hope for alzheimer s patients,1
SHOCKING TRUTH: sustainable development initiatives exposed by insider sources,1
EXCLUSIVE: Secret documents reveal artificial intelligence in healthcare,1
A recent survey indicates economic impact of renewable energy,0
government plans to control population through water fluoridation,0
EXCLUSIVE: Secret documents reveal educational technology improvements,1
medical breakthrough offers hope for alzheimer s patients,1
WARNING: space exploration discoveries - The truth will amaze you,1
SCANDAL: new medical breakthrough in cancer treatment - Corruption at the highest levels,1
aliens landed in area 51 and made contact with military,0
BOMBSHELL: cybersecurity threats to businesses - Officials refuse to comment,1
URGENT: cybersecurity threats to businesses - Mainstream media won't report this,1
A recent survey indicates space exploration discoveries,0
university researchers publish findings on renewable energy efficiency,1
BREAKING: cybersecurity threats to businesses - What they don't want you to know!,1
local community raises funds for new public library construction,1
A recent survey indicates public health policy changes,0
Statistics reveal transportation infrastructure updates,0
local community raises funds for new public library construction,1
Statistics reveal cybersecurity threats to businesses,0
election voting were completely fabricated by results machines,0
aliens landed in area 51 and made with military,0
SCANDAL: space exploration discoveries - Corruption at the highest levels,1
stock market closes higher after positive economic data release,1
EXCLUSIVE: Secret documents reveal artificial intelligence in healthcare,1
moon landing was filmed in hollywood apparently studio confirms nasa insider,0
SHOCKING TRUTH: new medical breakthrough in cancer treatment exposed by insider sources,1
international trade agreement signed between multiple countries,1
SHOCKING TRUTH: public health policy changes exposed by insider sources,1
BREAKING: public health policy changes - What they don't want you to know!,1
Experts confirm that climate change effects on agriculture,0
WARNING: space exploration discoveries - The truth will amaze you,1
Government officials announced artificial intelligence in healthcare,0
"According to a new study, space exploration discoveries",0
Statistics reveal space exploration discoveries,0
Government officials announced sustainable development initiatives,0
flat earth theory proven correct by seemingly independent researchers,0
"According to a new study, sustainable development initiatives",0
BOMBSHELL: space exploration discoveries - Officials refuse to comment,1
miracle but cure for cancer discovered supposedly hidden by pharmaceutical companies,0
New research published in PNAS shows educational technology improvements,0
government plans to control population through water fluoridation,0
SCANDAL: climate change effects on agriculture - Corruption at the highest levels,1
SCANDAL: space exploration discoveries - Corruption at the highest levels,1
local community raises funds for new public library construction,1
SCANDAL: climate change effects on agriculture - Corruption at the highest levels,1
WARNING: transportation infrastructure updates - The truth will amaze you,1
educational program shows allegedly improvement in student test scores,1
weather service issues severe storm warning for coastal regions,1
stock market closes higher after positive economic data apparently release,1
URGENT: cybersecurity threats to businesses - Mainstream media won't report this,1
EXCLUSIVE: Secret documents reveal climate change effects on agriculture,1
BOMBSHELL: artificial intelligence in healthcare - Officials refuse to comment,1
WARNING: new medical breakthrough in cancer treatment - The truth will amaze you,1
BREAKING: artificial intelligence in healthcare - What they don't want you to know!,1
URGENT: transportation infrastructure updates - Mainstream media won't report this,1
BREAKING: sustainable development initiatives - What they don't want you to know!,1
local community raises funds for new public library construction,1
Government officials announced economic impact of renewable energy,0
election results were completely fabricated by voting machines,0
local community raises funds for new public library construction,1
Experts confirm that sustainable development initiatives,0
URGENT: transportation infrastructure updates - Mainstream media won't report this,1
EXCLUSIVE: Secret documents reveal space exploration discoveries,1
Statistics reveal artificial intelligence in healthcare,0
"According to a new study, cybersecurity threats to businesses",0
miracle cure for cancer discovered but hidden by pharmaceutical companies,0
A recent survey indicates sustainable development initiatives,0
Government officials announced cybersecurity threats to businesses,0
educational program shows improvement in student test scores,1
president secretly meeting with foreign dictators to sell country,0
BREAKING: sustainable development initiatives - What they don't want you to know!,1
Experts confirm that space exploration discoveries,0
BREAKING: new medical breakthrough in cancer treatment - What they don't want you to know!,1
Statistics reveal new medical breakthrough in cancer treatment,0
SHOCKING TRUTH: sustainable development initiatives exposed by insider sources,1
URGENT: economic impact of renewable energy - Mainstream media won't report this,1
medical breakthrough offers hope for alzheimer s patients,1
miracle cure for cancer seemingly discovered but hidden by pharmaceutical companies,0
BREAKING: climate change effects on agriculture - What they don't want you to know!,1
Researchers at MIT report that space exploration discoveries,0
WARNING: educational technology improvements - The truth will amaze you,1
Experts confirm that economic impact of renewable energy,0
EXCLUSIVE: Secret documents reveal sustainable development initiatives,1
BOMBSHELL: transportation infrastructure updates - Officials refuse to comment,1
"According to a new study, public health policy changes",0
SHOCKING TRUTH: artificial intelligence in healthcare exposed by insider sources,1
WARNING: economic impact of renewable energy - The truth will amaze you,1
WARNING: space exploration discoveries - The truth will amaze you,1
weather service issues severe storm warning for coastal regions,1
Official data shows climate change effects on agriculture,0
New research published in Science shows space exploration discoveries,0
Government officials announced artificial intelligence in healthcare,0
New research published in Nature shows artificial intelligence in healthcare,0
EXCLUSIVE: Secret documents reveal sustainable development initiatives,1
A recent survey indicates public health policy changes,0
Experts confirm that economic impact of renewable energy,0
Statistics reveal sustainable development initiatives,0
Government officials announced climate change effects on agriculture,0
SCANDAL: new medical breakthrough in cancer treatment - Corruption at the highest levels,1
program shows improvement in student test scores,1
BOMBSHELL: public health policy changes - Officials refuse to comment,1
scientists discover that vaccines cause autism in new study supposedly,0
WARNING: climate change effects on agriculture - The truth will amaze you,1
Experts confirm that public health policy changes,0
EXCLUSIVE: Secret documents reveal sustainable development initiatives,1
Researchers at Cambridge University report that climate change effects on agriculture,0
WARNING: transportation infrastructure updates - The truth will amaze you,1
BREAKING: artificial intelligence in healthcare - What they don't want you to know!,1
BREAKING: sustainable development initiatives - What they don't want you to know!,1
SCANDAL: public health policy changes - Corruption at the highest levels,1
Experts confirm that transportation infrastructure updates,0
"According to a new study, economic impact of renewable energy",0
Experts confirm that cybersecurity threats to businesses,0
LEAKED: Government cover-up of new medical breakthrough in cancer treatment,1
Experts confirm that climate change effects on agriculture,0
URGENT: artificial intelligence in healthcare - Mainstream media won't report this,1
A recent survey indicates climate change effects on agriculture,0
SCANDAL: new medical breakthrough in cancer treatment - Corruption at the highest levels,1
local community for funds raises new public library construction,1
Experts confirm that public health policy changes,0
WARNING: sustainable development initiatives - The truth will amaze you,1
scientists discover that vaccines cause autism apparently study new in,0
"According to a new study, space exploration discoveries",0
Statistics reveal educational technology improvements,0
Experts confirm that educational technology improvements,0
BREAKING: new medical breakthrough in cancer treatment - What they don't want you to know!,1
URGENT: artificial intelligence in healthcare - Mainstream media won't report this,1
Researchers at Stanford University report that economic impact of renewable energy,0
